source_sectors,n
"International Government Organization,Global,Global Diplomatic IGOs,Government,Elite",263
"Defense / Security Ministry,Government,Executive,Cabinet",262
"Defense / Security Ministry,Executive,Elite,Government",260
"Government,Elite,Executive,Defense / Security Ministry",260
"International Government Organization,Regional,Regional Economic/Financial/Trade IGOs",260
"Social,Heavy Industrial / Chemical Business,Business",260
"Global Economic/Financial/Trade IGOs,Global Development IGOs,International Government Organization,Global",259
"Defense / Security Ministry,Elite,Executive,Government,Cabinet",258
"Radicals / Extremists / Fundamentalists,Separatists,Dissident",258
"International Religious,Fundamentalist,Dissident,Insurgents,Sunni,Ideological",257
"International Religious,Insurgents,Dissident,Sunni,Ideological,Fundamentalist",257
"Executive,Government,Executive Office,Lower House,Legislative / Parliamentary,Elite",255
"International Religious,Muslim,Dissident,Separatists",255
"Sunni,Ideological,International Religious,Fundamentalist,Dissident,Insurgents",255
"Dissident,Kurd (Ethnic Group),Separatists,International Ethnic",254
"Dissident,Muslim,Separatists,International Religious",254
"International Government Organization,Elite,Government,Global Diplomatic IGOs,Global",254
"Government,Drugs Ministry,Executive",253
"Interior / Home Ministry,Government,Executive,Elite",253
"Police,Provincial Divisions,Government",252
"Executive,Government,Drugs Ministry",251
"Local,Government,Elite,Provincial",251
"State-Owned Heavy Industrial / Chemical,State Owned Enterprises,Government",250
"Cabinet,Executive,Foreign Ministry,Elite,Government",249
"Fundamentalist,International Religious,Insurgents,Dissident,Ideological,Sunni",249
"Tamil,Separatists,Dissident,International Ethnic",248
"Government,Elite,Executive,Interior / Home Ministry",247
"Industrial / Textiles / Mining Ministry,Government,Executive",247
"International Ethnic,Tamil,Separatists,Dissident",247
"International Religious,Dissident,Insurgents,Ideological,Sunni,Fundamentalist",247
"Dissident,Separatists,International Ethnic,Kurd (Ethnic Group)",246
"Social,International Ethnic,Chechen,National Ethnic Minority,National Ethnic",245
"Muslim,Dissident,Rebel,International Religious",244
"Separatists,Kurd (Ethnic Group),International Ethnic,Dissident",242
"Ideological,Communist,Dissident,Insurgents",241
"Government,Cabinet,Defense / Security Ministry,Executive",238
"Local,Elite,Provincial,Government",237
"Regional Diplomatic IGOs,International Government Organization,Elite,Regional",237
"Defense / Security Ministry,Government,Executive,Elite",236
"Information / Communication / Transparency Ministry,Government,State Media,Executive",236
"Sunni,Insurgents,Dissident,Ideological,Fundamentalist,International Religious",235
"Fundamentalist,Sunni,Insurgents,Dissident,International Religious,Ideological",234
"Government,National / Supreme Court,Judicial",234
"Insurgents,Dissident,Communist,Ideological",234
"Insurgents,Dissident,International Religious,Fundamentalist,Ideological,Sunni",234
"Insurgents,International Religious,Sunni,Fundamentalist,Dissident,Ideological",234
"Local,Elite,Government,Provincial",233
"Government,Police,Provincial Divisions",232
"Executive,Defense / Security Ministry,Executive Office,Government,Elite",231
"Government,Elite,Military",231
"Nongovernmental Organizations / Activists,Legal NGOs",231
"Elite,Executive,Finance / Economy / Commerce / Trade Ministry,Government",230
"Unidentified Forces,Military,Government",230
"Sunni,Fundamentalist,International Religious,Ideological,Insurgents,Dissident",229
"International Religious,Dissident,Muslim,Rebel",228
"Muslim,Dissident,International Religious,Rebel",228
"Executive,Elite,International Religious,Government,Orthodox,Executive Office",227
"Government,Police,Municipal Divisions",227
"Information / Communication / Transparency Ministry,Government,Executive,State Media",227
"Finance / Economy / Commerce / Trade Ministry,Executive,Government,Cabinet",226
"Government,Industrial / Textiles / Mining Ministry,Executive",226
"Military,Elite,Government",226
"Dissident,Muslim,Rebel,International Religious",224
"Elite,International Government Organization,Regional Diplomatic IGOs,Regional",224
"International Religious,Fundamentalist,Sunni,Insurgents,Dissident,Ideological",223
"Government,Defense / Security Ministry,Executive,Elite",222
"International Government Organization,Regional Development IGOs,Regional",222
"Separatists,Tamil,Dissident,International Ethnic",222
"Police,Municipal Divisions,Government",221
"Insurgents,Muslim,Dissident,International Religious",220
"International Government Organization,Elite,Regional,Regional Diplomatic IGOs",220
"International Government Organization,Global,Government,Elite,Global Diplomatic IGOs",220
"Elite,Executive,Defense / Security Ministry,Government",218
"International Government Organization,Regional,Regional Development IGOs",218
"Dissident,International Religious,Muslim,Rebel",217
"Government,Military,Marines",217
"Dissident,International Religious,Rebel,Muslim",216
"Social,National Ethnic,International Ethnic,National Ethnic Minority,Chechen",216
"Global,Global Defense / Security IGOs,International Government Organization",215
"International Religious,Separatists,Muslim,Dissident",215
"Kurd (Ethnic Group),Separatists,Dissident,International Ethnic",215
"Foreign Ministry,Elite,Executive,Government,Cabinet",214
"Foreign Ministry,Elite,Government,Cabinet,Executive",214
"International Religious,Executive,Executive Office,Government,Elite,Orthodox",214
"Rebel,International Religious,Muslim,Dissident",214
"Ideological,International Religious,Fundamentalist,Dissident,Insurgents,Sunni",213
"Kurd (Ethnic Group),International Ethnic,Dissident,Separatists",213
"Sunni,International Religious,Fundamentalist,Ideological,Dissident,Insurgents",213
"Communist,Ideological,Insurgents,Dissident",212
"International Religious,Dissident,Muslim,Separatists",212
"Defense / Security Ministry,Government,Elite,Executive",211
"Elite,Global Diplomatic IGOs,Global,International Government Organization,Government",211
"International Ethnic,Kurd (Ethnic Group),Separatists,Dissident",211
"Dissident,Rebel,Muslim,International Religious",210
"International Government Organization,Global,Elite,Global Defense / Security IGOs",210
"International Religious,Rebel,Muslim,Dissident",210
"Dissident,Muslim,Insurgents,International Religious",209
"Executive,Finance / Economy / Commerce / Trade Ministry,Government,Elite",209
"Foreign Ministry,Executive,Government,Cabinet,Elite",209
"Government,Information / Communication / Transparency Ministry,Executive,State Media",209
"Executive,Elite,Government,Defense / Security Ministry",208
"Government,Elite,Executive,Finance / Economy / Commerce / Trade Ministry",208
"Government,Foreign Ministry,Elite,Cabinet,Executive",208
"Muslim,International Religious,Rebel,Dissident",206
"International Ethnic,Gypsy",205
"Global,International Government Organization,Global Law / Justice / Judicial IGOs",202
"State Owned Enterprises,Elite,Government,State-Owned Defense / Security",202
"State Owned Enterprises,Government,State-Owned Heavy Industrial / Chemical",202
"Defense / Security Ministry,Cabinet,Government,Executive",200
"Far Left,Insurgents,Ideological,Dissident",200
"Government,Executive,Defense / Security Ministry,Cabinet",200
"Separatists,International Religious,Muslim,Dissident",199
"Elite,International Government Organization,Global,Government,Global Diplomatic IGOs",198
"Global Economic/Financial/Trade IGOs,Executive,International Religious,Global,International Government Organization,Pashtun,Development NGOs,Nongovernmental Organizations / Activists,Global Development IGOs,Government,International Ethnic,Muslim,Executive Office",198
"Government,Ideological,International Religious,Sunni,Fundamentalist",198
"Interior / Home Ministry,Elite,Executive,Government",198
"Global Development IGOs,Global,International Government Organization,Global Economic/Financial/Trade IGOs",197
"International Government Organization,Global,Global Defense / Security IGOs,Elite",197
"Christian,Social,International Religious,National Religious",196
"State Media,Executive,Government,Information / Communication / Transparency Ministry",196
"Tourism Ministry,Government,Executive",196
"Government,State-Owned Defense / Security,State Owned Enterprises,Elite",195
"National Ethnic Minority,Social,National Ethnic",194
"Ideological,Insurgents,Dissident,Sunni,International Religious,Fundamentalist",193
"Legal NGOs,Nongovernmental Organizations / Activists",193
"Interior / Home Ministry,Executive,Government,Elite",192
"Dissident,Sunni,Insurgents,Ideological,International Religious,Fundamentalist",191
"International Religious,Muslim,Rebel,Dissident",191
"Sunni,International Religious,Fundamentalist,Ideological,Insurgents,Dissident",191
"Government,Executive,Executive Office,Elite,Military",189
"Muslim,Rebel,Dissident,International Religious",189
"Social,National Ethnic,National Ethnic Minority",189
"Government,State Media,Executive,Information / Communication / Transparency Ministry",187
"International Religious,Fundamentalist,Dissident,Ideological,Insurgents,Sunni",187
"Muslim,International Religious,Dissident,Separatists",187
"Government,Executive,Elite,Interior / Home Ministry",186
"Nongovernmental Organizations / Activists,Information / Communication / Transparency NGOs",186
"Executive,Government,Science / Tech / Knowledge / Innovation Ministry",185
"Judicial,National / Supreme Court,Government",185
"Regional Defense / Security IGOs,International Government Organization,Regional",185
"Insurgents,Dissident,Ideological,Communist",184
"Military,Government,Elite",184
"Dissident,Insurgents,Ideological,Communist",183
"Dissident,Insurgents,Ideological,Sunni,International Religious,Fundamentalist",183
"Dissident,Radicals / Extremists / Fundamentalists,Separatists",183
"Elite,Military,Government",183
"Executive,Government,Military,Defense / Security Ministry",182
"Government,Municipal,Local,Provincial",182
"International Religious,Orthodox,Executive,Executive Office,Government,Elite",182
"Communist,Insurgents,Dissident,Ideological",181
"Dissident,Separatists,Muslim,International Religious",181
"Global Economic/Financial/Trade IGOs,Global Development IGOs,Global,International Government Organization",181
"Government,Executive,Defense / Security Ministry,Military",181
"International Religious,Ideological,Insurgents,Sunni,Fundamentalist,Dissident",180
"Government,Executive,Tourism Ministry",179
"Separatists,Dissident,International Religious,Muslim",179
"Executive,Government,Defense / Security Ministry,Elite",178
"Global Law / Justice / Judicial IGOs,Global,International Government Organization",178
"Government,Executive,Housing / Construction Ministry",178
"International Ethnic,Dissident,Separatists,Tamil",178
"Muslim,Fundamentalist,International Religious,Dissident,Insurgents,Ideological,Sunni",178
"Defense / Security Ministry,Executive,Elite,Government,Cabinet",177
